"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"1","PLP1","0",4.01156176392869,2.91776730346354,535915893.5,0.914379549445067,0,0,99.4011976047904,41.3206411729307
"2","TMEM144","0",2.77354200049033,2.01071612236634,516518210.5,0.881283228069,0,0,98.1287425149701,33.8092893484326
"3","TF","0",2.38155381586529,1.7811121416934,515231925.5,0.879088568957331,0,0,96.248128742515,30.3535933767347
"4","ST18","0",3.60590193168411,2.58903650237245,514020454.5,0.877021557471795,0,0,99.5228293413174,33.5685759614859
"5","ENPP2","0",2.35991386594038,1.77632501764132,512261638,0.874020665245361,0,0,96.2855538922156,27.0711381001878
"6","CNP","0",2.1976290234722,1.68096397969259,510985716,0.87184368748143,0,0,92.2249251497006,28.3713551069533
"7","MOBP","0",2.44875422300753,1.86017253177856,505660156.5,0.862757219333694,0,0,93.2447604790419,25.5976803982712
"8","RNF220","0",3.14977182975275,2.12002054367844,504587328,0.860926759643359,0,0,99.2327844311377,42.3345551361307
"9","CLDND1","0",2.080025280385,1.55963004903407,504252586,0.86035562293543,0,0,91.1395958083832,30.2624140634973
"10","PLEKHH1","0",2.17800707890712,1.5586241416304,503168608,0.858506139971275,0,0,94.8540419161677,33.8804092127578
"11","CERCAM","0",2.1638245480914,1.61622763313594,501440993.5,0.855558484588621,0,0,92.627245508982,27.3464996261648
"12","ABCA2","0",2.23395571138897,1.52183984980343,501068989.5,0.854923771466586,0,0,95.0130988023952,41.4756460054343
"13","MOG","0",1.72837769937281,1.3753502920833,498078028.5,0.849820594634627,0,0,87.1818862275449,18.8978244615862
"14","UGT8","0",1.93316214313161,1.46680530906402,498027081,0.849733668024201,0,0,90.2039670658683,24.2536973211518
"15","CLMN","0",2.28879867186644,1.62129772644858,497536008.5,0.848895800260358,0,0,95.6306137724551,32.0951182595693
"16","C10orf90","0",2.44847667204978,1.67119709611486,497240422,0.848391470655713,0,0,96.5381736526946,35.5818151977679
"17","CNTN2","0",1.9303322237137,1.41810804893827,495797256.5,0.845929142078281,0,0,91.7290419161677,28.3859437970713
"18","KCNH8","0",2.36339853500398,1.64996802448633,495237179,0.8449735380025,0,0,94.1616766467066,32.6093695862283
"19","SLCO1A2","0",1.78040037349646,1.40319546338558,494666899,0.844000526424038,0,0,87.3222305389222,18.6644054196984
"20","DOCK5","0",2.44404185678595,1.58169879333855,494217876,0.843234403505479,0,0,96.8282185628742,41.2695807575177
"21","FAM107B","0",1.895543415779,1.42976842189779,494089570,0.843015487843723,0,0,89.9232784431138,23.7558582708755
"22","APLP1","0",1.9281499502126,1.36866016375887,493226329,0.84154262628799,0,0,88.8940868263473,35.7897040319492
"23","FRMD4B","0",2.53887965155278,1.65312065023509,491986680.5,0.839427538359738,0,0,96.9217814371258,40.3741999015263
"24","CREB5","0",2.35241020288822,1.52979904413744,489855903,0.835792006377856,0,0,94.9756736526946,41.2659335849882
"25","AMER2","0",1.968947370519,1.36315886987968,488110046.5,0.832813226499842,0,0,90.8869760479042,35.248098911319
"26","LAMP2","0",2.00658660596638,1.36377900653405,487930936.5,0.832507629067321,0,0,90.8589071856288,38.2716049382716
"27","COL4A5","0",1.72730066859653,1.30268004380301,487175132.5,0.831218076491309,0,0,86.4801646706587,23.1139559056841
"28","HHIP","0",1.83290063148561,1.41561477727094,486831603,0.830631946553307,0,0,85.4322604790419,20.1725112606452
"29","ZNF536","0",2.53195091647345,1.57902727850105,486123191.5,0.829423255047703,0,0,97.3708832335329,41.8513047759724
"30","AC026316.5","0",2.25663815132912,1.6502510099579,486121513.5,0.829420392044567,0,0,89.2028443113772,26.4529423564382
"31","LPAR1","0",1.89883338447568,1.39375245410805,483536357,0.825009598738406,0,0,87.5374251497006,24.773419406605
"32","QDPR","0",1.97121281184022,1.35743597155895,479054312,0.817362334797553,0,0,87.7806886227545,35.6182869230629
"33","DAAM2","0",1.82585632862132,1.27404297663981,475026049.5,0.810489314432844,0,0,87.4532185628742,28.3822966245418
"34","BCAS1","0",1.94945986987762,1.329889311292,474223478,0.809119967161252,0,0,89.0812125748503,29.6661013549246
