"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"1","CTNNA3","0",3.53025569190697,3.0058337688096,77598334,0.97720157411412,0,0,98.1732348111658,33.3885514448739
"2","ST18","0",3.20216132617975,2.89893250406059,77003065,0.969705307456883,0,0,96.85960591133,17.8968034848764
"3","RNF220","0",3.31757885074788,2.77637789114153,76783699,0.966942815152511,0,0,97.1469622331691,32.3946254371434
"4","PLP1","0",2.98674097903097,2.40164075743685,74392642,0.936832057050454,0,0,94.7249589490969,33.9100558316461
"5","PLEKHH1","0",2.36027026299711,2.07944415614958,73953117.5,0.931297092430444,0,0,91.0098522167488,21.7866126756243
"6","CLMN","0",2.30258561174892,2.05783142896964,73544220.5,0.926147822189017,0,0,90.1888341543514,17.6636603472606
"7","FRMD4B","0",2.5461345405343,2.03169919101695,72770331.5,0.916402180626795,0,0,93.123973727422,30.0141112951715
"8","C10orf90","0",2.23677546175234,1.92425901055224,72591301,0.91414763626487,0,0,89.8399014778325,20.3877538499294
"9","ENPP2","0",2.04664212937761,1.89805062058002,72319200,0.910721048195105,0,0,86.0632183908046,10.6018774157924
"10","ZNF536","0",2.43186130571083,1.98366998825688,71864680,0.904997244131653,0,0,91.8103448275862,24.2530216577704
"11","TMEM144","0",2.259197511575,1.98950969766644,71800246,0.904185821991759,0,0,86.6995073891626,19.2036321246702
"12","KCNH8","0",2.12588131593765,1.8555276677435,71742534.5,0.90345905679285,0,0,87.5,17.4182465181913
"13","DOCK5","0",2.3557563985748,1.85153203061723,71568186,0.901263473204104,0,0,89.8399014778325,31.3454813178723
"14","AC026316.5","0",2.23478384135534,2.03472051212969,71494456,0.900334985846896,0,0,85.2422003284072,13.7738511565127
"15","TF","0",2.10545211635724,1.86782626419316,71493045.5,0.900317223315805,0,0,86.3300492610837,17.2341861463893
"16","PDE1C","0",2.38227708357295,1.86197729406392,71449635.5,0.899770557966877,0,0,89.983579638752,33.1185962328977
"17","POLR2F","0",2.13024769178004,1.82816696023234,71362495.5,0.898673197485294,0,0,86.8021346469622,24.5659242898337
"18","MOBP","0",2.00345852739937,1.86191106848165,70818446.5,0.89182194808611,0,0,82.5944170771757,9.73679366832321
"19","CREB5","0",2.08824702958917,1.74523147260883,70553675,0.88848766095334,0,0,86.1658456486043,24.1119087060556
"20","PXK","0",1.97054643202469,1.57631076799095,69807133,0.879086402189946,0,0,85.7142857142857,31.695196024296
"21","SPOCK3","0",2.39479012616238,1.77022457298674,69491971,0.875117543754132,0,0,90.2709359605911,34.940793913737
"22","CERCAM","0",1.67015188971021,1.5300726582476,69375782,0.873654367061515,0,0,80.1108374384236,10.8104791705013
"23","FA2H","0",1.64955845973022,1.50590731331239,69272685,0.872356058895692,0,0,79.8234811165846,10.632554144426
"24","TMEM165","0",2.07157475698617,1.61204104013265,69091718.5,0.87007713434221,0,0,84.8932676518883,34.689244738941
"25","SLAIN1","0",1.98005669632584,1.53827114508847,68619124,0.864125716760001,0,0,84.3185550082102,33.3333333333333
"26","MOG","0",1.46244186428614,1.37181819161793,67914423.5,0.855251371108728,0,0,74.8973727422003,6.7550156451316
"27","CDK18","0",1.53279436518565,1.35595583697272,67633516.5,0.851713888427982,0,0,77.4220032840722,14.5284986809007
"28","CNTN2","0",1.5108355147453,1.36313040756383,67539009,0.850523748472586,0,0,76.1494252873563,11.7737284495981
"29","DAAM2","0",1.83928391196814,1.48040878668852,67469189,0.849644500035311,0,0,83.3333333333333,21.5596048837352
"30","LPAR1","0",1.67557720328322,1.41973064384052,67031822.5,0.84413671126932,0,0,78.2019704433498,17.5286827412725
"31","UGT8","0",1.47673564085946,1.34013713291137,66830438.5,0.841600667624345,0,0,74.0147783251232,10.3073808209093
"32","ABCA2","0",1.49306342378586,1.26859872439162,66812458.5,0.841374244151096,0,0,77.504105090312,19.0441131357752
"33","LINC01608","0",1.54631091447992,1.46077258565711,66702654,0.839991467940401,0,0,71.4696223316913,5.78563102030799
"34","BCAS1","0",1.74981417646522,1.45316137725101,66638726,0.839186417896028,0,0,79.2487684729064,16.9028774771458
"35","HHIP","0",1.50966601400663,1.40573734251075,66573091.5,0.838359877770615,0,0,72.0443349753695,7.67531750414136
"36","FAM107B","0",1.41691447461374,1.2920703663026,66006882,0.831229559551691,0,0,71.6543513957307,9.59568071660838
"37","ANO4","0",2.00936851215965,1.47108942060431,65970785.5,0.830774993650572,0,0,81.9991789819376,33.3087919504264
"38","LPGAT1","0",1.77922878956362,1.35378441744165,65778003.5,0.82834727562945,0,0,79.3513957307061,32.5970918461255
"39","HIP1","0",1.9821875688577,1.41011132794277,65663486,0.826905148260277,0,0,85.3448275862069,34.0020860175471
"40","CD22","0",1.28345351083645,1.21965371671635,65595037.5,0.826043171224201,0,0,68.2881773399015,4.83465243266458
"41","ADGRV1","1",3.34509270665646,2.89251160256994,61618981.5,0.964361413011582,0,0,95.858475041141,30.4650499286733
"42","RYR3","1",2.73968557692217,2.25969605275726,59084234,0.924691612874954,0,0,91.6072408118486,29.169757489301
"43","RNF219-AS1","1",2.46973775396209,2.3170921198525,58871072,0.921355543330858,0,0,87.3834339001646,10.7047075606277
"44","NKAIN3","1",2.53799546373045,2.0117662575122,57341101,0.897410892518563,0,0,89.1387822270982,30.8359486447932
"45","ATP1A2","1",2.07428761751001,1.77897751606194,56762753.5,0.88835952557392,0,0,86.2314865606144,18.7960057061341
"46","SLC4A4","1",2.1491567949136,1.86964219990359,56694589.5,0.887292732034716,0,0,84.2018650575974,20.7988587731812
"47","TRPM3","1",2.48481306000996,2.02370262753942,56495268,0.884173271785546,0,0,86.0120680197477,28.1940085592011
"48","GLIS3","1",2.16445073654822,1.87038163879044,56210172.5,0.879711414537496,0,0,83.0773450356555,19.9600570613409
"49","ZNRF3","1",2.16095817575255,1.79167699594354,56208875,0.879691108149709,0,0,83.845309928689,27.9771754636234
"50","SFXN5","1",2.02458380271784,1.63163991842854,56124193.5,0.878365809207597,0,0,84.8052660449808,30.2824536376605
"51","RFX4","1",1.79656173658256,1.66899563270912,55623002.5,0.870521971981097,0,0,78.1952825013714,9.72895863052782
"52","HIF3A","1",1.8396245911849,1.58517589800657,54540930.5,0.853587117533686,0,0,78.7712561711465,16.5592011412268
"53","SLC25A18","1",1.49560884108823,1.38202396845532,54282990,0.849550246767606,0,0,74.6023038946791,9.08416547788873
"54","PRDM16","1",1.39923071914607,1.34262169624203,54188759,0.848075494376422,0,0,72.161272627537,4.43366619115549
"55","PAMR1","1",1.56639617201699,1.46484272500077,54161005,0.847641133307719,0,0,73.4777838727372,8.18830242510699
"56","PARD3","1",2.10643332080853,1.59320365822278,54060143.5,0.846062610971084,0,0,82.9402084476138,29.9800285306705
"57","BMPR1B","1",1.52318418108614,1.41693622651594,54012517,0.845317237423538,0,0,73.2309380142622,8.23965763195435
"58","PREX2","1",1.88183386532165,1.44170739105707,53855745.5,0.842863701490622,0,0,81.8431157432803,28.6676176890157
"59","LINC00499","1",1.67505519600652,1.60359048491594,53779841.5,0.84167577389248,0,0,71.0641799232035,5.12981455064194
"60","TPD52L1","1",1.63711688323474,1.51516726698506,53616244,0.83911540836185,0,0,72.2709818979704,9.35805991440799
"61","CARMIL1","1",1.77702856862804,1.39576418739352,53565597.5,0.838322770620765,0,0,79.1003839824465,27.5435092724679
"62","C1orf61","1",1.71661606007321,1.3491213907115,53406676.5,0.835835594163342,0,0,81.6236972024136,25.4265335235378
"63","CAMK2G","1",1.80730699638055,1.33782359396494,53335364.5,0.834719533180012,0,0,81.2945693911135,34.9614835948645
"64","STON2","1",1.41874527393684,1.31332094170735,53236656,0.833174706144267,0,0,71.0916072408119,7.93723252496434
"65","NHSL1","1",1.76706287499579,1.45428479450019,53136155,0.831601825775105,0,0,78.4969829950631,18.5791726105563
"66","PARD3B","1",1.85204542821922,1.39981074792721,53080014.5,0.830723204762728,0,0,80.279758639605,28.6390870185449
"67","MMD2","1",1.64659433057021,1.36373865156585,52948959.5,0.828672142218271,0,0,78.3049917718047,18.5506419400856
"68","ARHGEF4","1",1.71490518881042,1.32931640549212,52931872,0.828404716090093,0,0,79.1278113000548,28.3195435092725
"69","FGFR3","1",1.29482020514432,1.17548938987014,52856559,0.827226037875521,0,0,71.5578716401536,9.28388017118402
"70","GNA14","1",1.4972862662908,1.38357840755251,52781552,0.826052148681885,0,0,69.8299506308283,8.69614835948645
"71","KCNN3","1",1.5656884232838,1.32301324950151,52777359,0.825986526574762,0,0,74.3828853538124,19.3666191155492
"72","ACSBG1","1",1.25713536010264,1.18659947649297,52724897,0.825165475541171,0,0,68.5682940208448,5.31811697574893
"73","GLI3","1",1.32145917849371,1.24836492259143,52678799,0.824444023622707,0,0,68.3214481623697,5.56918687589158
"74","AC002429.2","1",1.64725587198555,1.53190982275581,52298375.5,0.818490245499924,0,0,68.3214481623697,8.67902995720399
"75","LRIG1","1",1.58114919409631,1.25731310262523,52078751.5,0.815053043101971,0,0,75.5622600109709,24.228245363766
"76","ACOT11","1",1.35745651575428,1.14302474805354,52059299,0.814748603789117,0,0,72.4355458036204,18.2310984308131
"77","ATP13A4","1",1.39532091890551,1.19356488976472,52008002,0.813945785465947,0,0,71.4481623697202,14.7104136947218
"78","LINC00299","1",1.28007683445302,1.1655209593646,51670877.5,0.808669653805433,0,0,67.1969281404279,9.660485021398
"79","GRAMD2B","1",1.54812158838206,1.22404137081932,51654528,0.808413777668921,0,0,73.7520570488206,22.7788873038516
"80","SPON1","1",1.32473986954528,1.2269667673931,51644942.5,0.80826376080562,0,0,66.1821173889194,7.61768901569187
"81","LRIG1","10",1.53496142924357,1.00231202179217,2703572,0.789524528196095,1.82179286067704e-52,4.10571384367917e-49,86.5030674846626,32.6542269611577
"82","AC002429.2","10",1.41938702903078,1.04829152559025,2654064.5,0.775066845700615,2.85358482141596e-70,7.71723479103732e-66,74.2331288343558,18.5215156130998
"83","CLMN","10",1.82462209954336,1.11489094363445,2633784,0.7691443283073,1.51485265613432e-44,1.28023985101551e-41,90.7975460122699,33.9156511805027
"84","ATP1A2","10",1.61598279986967,1.02217296623772,2630937,0.7683129184792,9.41673551329123e-48,1.15757361464295e-44,85.8895705521472,29.9790555978675
"85","ENPP2","10",1.60861253011246,1.03116919358298,2616534.5,0.764106954289105,6.176282919775e-49,8.79112606749448e-46,85.8895705521472,27.5180883472963
"86","RNF219-AS1","10",1.72427976646101,1.18169022977103,2615704,0.763864423252141,1.8193276784178e-54,4.47289979410283e-51,77.9141104294479,23.4910510281797
"87","AC026316.5","10",1.82765956267569,1.16834927281394,2605063.5,0.760757076474519,2.21971419289945e-45,2.06999829768182e-42,82.2085889570552,29.8172124904798
"88","LHFPL3","11",2.94600571113213,2.37401398102245,3110060.5,0.908231424546419,1.76896258828842e-121,1.5946608079224e-117,97.5460122699387,25.0809215536938
"89","PCDH15","11",2.63820009857717,1.97076776703683,3044225,0.889005473813073,1.37704568939736e-95,3.72408236240622e-92,98.7730061349693,31.2595201827875
"90","MEGF11","11",1.89630095690842,1.60062303763354,2995595,0.87480404777146,1.18354528902648e-146,3.2007798796432e-142,88.3435582822086,15.5654988575781
"91","VCAN","11",1.92150036090117,1.53491177707216,2929850.5,0.855604671781477,2.17111528136163e-111,9.78594027819066e-108,88.3435582822086,19.468773800457
"92","LUZP2","11",1.85723736105541,1.39058702846016,2895599,0.845602201206435,5.42643219614328e-89,1.1288648639423e-85,90.7975460122699,24.5715917745621
"93","CA10","11",1.85696852402669,1.30935200343086,2813970.5,0.82176421836379,1.11127632277905e-70,1.66963093740203e-67,89.5705521472393,28.1273800456969
"94","SEMA5A","11",1.68365510813563,1.21261666800508,2794130.5,0.815970340250165,1.83512052800231e-71,3.1018124724559e-68,85.8895705521472,26.2566641279513
"95","LINC00511","11",1.85225633544304,1.23704195909961,2762532,0.806742625654732,1.1783916633648e-58,1.1381580051442e-55,90.1840490797546,32.6399466869764
"96","SOX6","11",1.94032063597834,1.28158563618435,2740865,0.8004152084628,1.35850033337928e-56,1.14810259424716e-53,89.5705521472393,32.3971820258949
"97","SMOC1","11",1.27836725485049,1.01642524591669,2690902,0.785824506235428,2.28167109285794e-90,5.14212608627085e-87,71.7791411042945,14.7610434120335
"98","NXPH1","11",1.51734634087476,1.06060472506736,2687201.5,0.784743848676987,3.8079976013264e-69,5.14917435651356e-66,81.5950920245399,20.6635567402894
"99","TMEM132C","11",1.52151826665236,1.02427439243545,2677948.5,0.782041693728127,1.20198737394711e-54,9.02959626139604e-52,82.2085889570552,28.2511424219345
"100","BCAS1","11",1.71657749299574,1.0939367603809,2614591,0.76353939369869,2.44724321228846e-45,1.29771069476724e-42,84.6625766871166,30.8358720487433
"101","KCNH8","11",1.72492464234262,1.03553844820407,2582104,0.754052210317775,1.88404963337879e-40,8.21810294920903e-38,86.5030674846626,33.1349961919269
"102","DOCK8","12",2.23356711932724,1.82685033139466,2238018,0.871509802654073,1.33530878783452e-106,3.61120908581968e-102,92.6229508196721,16.0530191458027
"103","APBB1IP","12",2.01353760264288,1.63240043098264,2194668,0.854628816913541,2.42377580112202e-101,2.18495309218479e-97,89.344262295082,15.2643831060858
