"","AD","HC"
"ENO1",-0.0202786209096043,0.0167351297548156
"SLC2A5",0.0762841159054837,-0.0629542109199701
"PADI2",-0.0227999239367587,0.0188158596771784
"ECE1",0.0135839187587554,-0.0112102614876993
"C1QA",0.117345109924377,-0.0968401968472888
"C1QB",0.136416698614657,-0.112579211486653
"IFNLR1",0.0109199446922814,-0.0102862378053572
"LAPTM5",0.0845419614552656,-0.0697690785278916
"HDAC1",-0.0206128090592362,0.0170109217858156
"MRPS15",0.0236862443669054,-0.0195827083688188
"CSF3R",0.0675051429934835,-0.0557092778719351
"PRDX1",0.0154869522859164,-0.0127807584729842
"FAAH",-0.0463472405449782,0.0382485124483769
"MKNK1",0.000118109040428644,-9.74706379049187e-05
"TAL1",0.0596821483823343,-0.0493444049406289
"ELAVL4",-0.0244590495899149,0.0201850693096995
"MRPL37",-0.0167835841576491,0.0138508165757987
"ACOT11",-0.0610459709166444,0.0503787830962969
"DHCR24",0.0942663768134648,-0.0777942471788881
"DOCK7",-0.0619339062940232,0.0511115604297736
"AK4",-0.0668433026277229,0.0551630876528923
"DNAJC6",-0.00435947496024804,0.00359769924433195
"SGIP1",-0.0832667479388718,0.068716696131832
"IL23R",-0.021680959834907,-0.0223354820850727
"WLS",-0.0936093373133307,0.0772520189210834
"GBP1",-0.0389360071847693,0.0204679265816213
"GBP2",0.0261592510885227,-0.0336870752816688
"LRRC8D",0.00852324666876455,-0.00703389247078159
"BTBD8",-0.0222992688198555,0.0184026891572719
"CNN3",-0.0793146746410413,0.0654552090843142
"DPYD",0.0472699226514547,-0.0390099648589511
"PLPPR4",-0.0755228164836711,0.0623259411444094
"DBT",-0.0234122119624668,0.019321156344176
"S1PR1",-0.0708882342098016,0.0573726154765437
"OLFM3",-0.0328062994151361,0.0270737186682496
"COL11A1",-0.0690938370475552,0.0570203631402338
"STXBP3",-0.0219962529138567,0.0181526223244506
"CSF1",0.0231646348715861,-0.0191168409344377
"AHCYL1",-0.0974094313305953,0.0803880835845091
"KCND3",-0.00845625179643062,0.00697860429874981
"WNT2B",0.0302100561008875,-0.0249311435428469
"OLFML3",-0.0170447186454883,-0.0248295950566315
"PHGDH",0.0730974320384963,-0.0603243689678219
"FCGR1A",0.112350975704564,-0.0927187388568512
"CTSS",0.0550314393193772,-0.0454152322147051
"SELENBP1",-0.049344251024871,0.0407112108312177
"SNX27",0.00391405031868432,-0.00323010821308116
"S100A11",0.0538075287417571,-0.0478738673239277
"S100A9",0.0147786084269684,-0.0533203537509715
"S100A6",0.0753482171350033,-0.0622010089415002
"S100A4",-0.00797826527260585,-0.0351994477508932
"KCNN3",-0.10128734598736,0.0835883704899296
