"","x"
"1","AHCYL1"
"2","KCNN3"
"3","ASTN1"
"4","BRINP2"
"5","ESRRG"
"6","AGT"
"7","PDE1A"
"8","DOCK3"
"9","PTPRG"
"10","KALRN"
"11","GABRA2"
"12","DCLK2"
"13","DCHS2"
"14","GRAMD2B"
"15","ELOVL2"
"16","GJA1"
"17","PLEKHG1"
"18","PDE10A"
"19","ICA1"
"20","VGF"
"21","PTPRZ1"
"22","SPON1"
"23","SLC1A2"
"24","DLG2"
"25","YAP1"
"26","SLC16A9"
"27","LDB3"
"28","TESPA1"
"29","RPH3A"
"30","GPC5"
"31","GPC6"
"32","DAAM1"
"33","NRXN3"
"34","UNC79"
"35","ADAMTS17"
"36","PRKCA"
"37","DTNA"
"38","PLCB1"
"39","SDC4"
"40","CIRBP"
